Customer_ID,Satisfaction_Score,Likelihood_to_Recommend,Feedback_Comments_Encoded,Feedback_Comment,Satisfaction_Score_Normalized,Likelihood_to_Recommend_Normalized,Recommendation_Category,Satisfaction_Category
1,10.0,9,4,Excellent,1.0,0.8888888888888888,High,Satisfied
2,3.0,3,4,Needs improvement,0.2222222222222222,0.2222222222222222,Low,Dissatisfied
3,10.0,1,4,Excellent,1.0,0.0,Low,Satisfied
4,7.0,4,2,Good service,0.6666666666666665,0.3333333333333333,Low,Satisfied
5,8.0,7,3,Very satisfied,0.7777777777777777,0.6666666666666665,Medium,Satisfied
6,3.0,1,2,Needs improvement,0.2222222222222222,0.0,Low,Dissatisfied
7,3.0,2,2,Needs improvement,0.2222222222222222,0.1111111111111111,Low,Dissatisfied
8,7.0,5,2,Good service,0.6666666666666665,0.4444444444444445,Medium,Satisfied
9,10.0,9,1,Excellent,1.0,0.8888888888888888,High,Satisfied
10,7.0,1,1,Good service,0.6666666666666665,0.0,Low,Satisfied
11,9.0,4,1,Very satisfied,0.8888888888888888,0.3333333333333333,Low,Satisfied
12,6.0,3,3,Good service,0.5555555555555556,0.2222222222222222,Low,Neutral
13,7.0,5,4,Good service,0.6666666666666665,0.4444444444444445,Medium,Satisfied
14,10.0,5,4,Excellent,1.0,0.4444444444444445,Medium,Satisfied
15,1.0,10,2,Unsatisfactory,0.0,1.0,High,Dissatisfied
16,7.0,2,0,Good service,0.6666666666666665,0.1111111111111111,Low,Satisfied
17,2.0,5,2,Unsatisfactory,0.1111111111111111,0.4444444444444445,Medium,Dissatisfied
18,7.0,9,3,Good service,0.6666666666666665,0.8888888888888888,High,Satisfied
19,3.0,5,2,Needs improvement,0.2222222222222222,0.4444444444444445,Medium,Dissatisfied
20,9.0,10,1,Very satisfied,0.8888888888888888,1.0,High,Satisfied
21,5.0,2,3,Good service,0.4444444444444445,0.1111111111111111,Low,Neutral
22,7.0,7,3,Good service,0.6666666666666665,0.6666666666666665,Medium,Satisfied
23,8.0,6,1,Very satisfied,0.7777777777777777,0.5555555555555556,Medium,Satisfied
24,2.0,7,1,Unsatisfactory,0.1111111111111111,0.6666666666666665,Medium,Dissatisfied
25,1.0,8,1,Unsatisfactory,0.0,0.7777777777777777,High,Dissatisfied
26,7.0,10,1,Good service,0.6666666666666665,1.0,High,Satisfied
27,6.0,5,3,Good service,0.5555555555555556,0.4444444444444445,Medium,Neutral
28,6.0,2,1,Good service,0.5555555555555556,0.1111111111111111,Low,Neutral
29,2.0,7,1,Unsatisfactory,0.1111111111111111,0.6666666666666665,Medium,Dissatisfied
30,3.0,7,3,Needs improvement,0.2222222222222222,0.6666666666666665,Medium,Dissatisfied
31,4.0,8,2,Needs improvement,0.3333333333333333,0.7777777777777777,High,Neutral
32,3.0,7,2,Needs improvement,0.2222222222222222,0.6666666666666665,Medium,Dissatisfied
33,2.0,10,3,Unsatisfactory,0.1111111111111111,1.0,High,Dissatisfied
34,3.0,7,1,Needs improvement,0.2222222222222222,0.6666666666666665,Medium,Dissatisfied
35,6.0,9,2,Good service,0.5555555555555556,0.8888888888888888,High,Neutral
36,9.0,8,4,Very satisfied,0.8888888888888888,0.7777777777777777,High,Satisfied
37,4.0,2,4,Needs improvement,0.3333333333333333,0.1111111111111111,Low,Neutral
38,6.0,2,1,Good service,0.5555555555555556,0.1111111111111111,Low,Neutral
39,1.0,7,1,Unsatisfactory,0.0,0.6666666666666665,Medium,Dissatisfied
40,6.0,10,0,Good service,0.5555555555555556,1.0,High,Neutral
41,3.0,10,0,Needs improvement,0.2222222222222222,1.0,High,Dissatisfied
42,9.0,3,3,Very satisfied,0.8888888888888888,0.2222222222222222,Low,Satisfied
43,4.0,1,1,Needs improvement,0.3333333333333333,0.0,Low,Neutral
44,7.0,9,0,Good service,0.6666666666666665,0.8888888888888888,High,Satisfied
45,4.0,3,2,Needs improvement,0.3333333333333333,0.2222222222222222,Low,Neutral
46,6.0,1,1,Good service,0.5555555555555556,0.0,Low,Neutral
47,7.0,6,3,Good service,0.6666666666666665,0.5555555555555556,Medium,Satisfied
48,2.0,4,4,Unsatisfactory,0.1111111111111111,0.3333333333333333,Low,Dissatisfied
49,10.0,1,4,Excellent,1.0,0.0,Low,Satisfied
50,6.0,4,3,Good service,0.5555555555555556,0.3333333333333333,Low,Neutral
51,8.0,8,2,Very satisfied,0.7777777777777777,0.7777777777777777,High,Satisfied
52,6.0,7,1,Good service,0.5555555555555556,0.6666666666666665,Medium,Neutral
53,6.0,1,2,Good service,0.5555555555555556,0.0,Low,Neutral
54,4.0,10,0,Needs improvement,0.3333333333333333,1.0,High,Neutral
55,1.0,9,2,Unsatisfactory,0.0,0.8888888888888888,High,Dissatisfied
56,7.0,6,1,Good service,0.6666666666666665,0.5555555555555556,Medium,Satisfied
57,8.0,2,4,Very satisfied,0.7777777777777777,0.1111111111111111,Low,Satisfied
58,10.0,3,1,Excellent,1.0,0.2222222222222222,Low,Satisfied
59,2.0,7,0,Unsatisfactory,0.1111111111111111,0.6666666666666665,Medium,Dissatisfied
60,10.0,3,1,Excellent,1.0,0.2222222222222222,Low,Satisfied
61,5.0,3,1,Good service,0.4444444444444445,0.2222222222222222,Low,Neutral
62,8.0,5,1,Very satisfied,0.7777777777777777,0.4444444444444445,Medium,Satisfied
63,8.0,3,3,Very satisfied,0.7777777777777777,0.2222222222222222,Low,Satisfied
64,5.0,3,2,Good service,0.4444444444444445,0.2222222222222222,Low,Neutral
65,8.0,5,2,Very satisfied,0.7777777777777777,0.4444444444444445,Medium,Satisfied
66,6.0,5,1,Good service,0.5555555555555556,0.4444444444444445,Medium,Neutral
67,5.0,9,4,Good service,0.4444444444444445,0.8888888888888888,High,Neutral
68,4.0,1,0,Needs improvement,0.3333333333333333,0.0,Low,Neutral
69,5.0,1,0,Good service,0.4444444444444445,0.0,Low,Neutral
70,4.0,9,0,Needs improvement,0.3333333333333333,0.8888888888888888,High,Neutral
71,1.0,5,0,Unsatisfactory,0.0,0.4444444444444445,Medium,Dissatisfied
72,3.0,4,3,Needs improvement,0.2222222222222222,0.3333333333333333,Low,Dissatisfied
73,8.0,2,2,Very satisfied,0.7777777777777777,0.1111111111111111,Low,Satisfied
74,7.0,9,3,Good service,0.6666666666666665,0.8888888888888888,High,Satisfied
75,7.0,6,2,Good service,0.6666666666666665,0.5555555555555556,Medium,Satisfied
76,3.0,9,4,Needs improvement,0.2222222222222222,0.8888888888888888,High,Dissatisfied
77,9.0,5,1,Very satisfied,0.8888888888888888,0.4444444444444445,Medium,Satisfied
78,6.0,4,0,Good service,0.5555555555555556,0.3333333333333333,Low,Neutral
79,8.0,7,1,Very satisfied,0.7777777777777777,0.6666666666666665,Medium,Satisfied
80,8.0,5,3,Very satisfied,0.7777777777777777,0.4444444444444445,Medium,Satisfied
81,3.0,8,4,Needs improvement,0.2222222222222222,0.7777777777777777,High,Dissatisfied
82,4.0,8,1,Needs improvement,0.3333333333333333,0.7777777777777777,High,Neutral
83,6.0,2,1,Good service,0.5555555555555556,0.1111111111111111,Low,Neutral
84,2.0,5,4,Unsatisfactory,0.1111111111111111,0.4444444444444445,Medium,Dissatisfied
85,7.0,10,4,Good service,0.6666666666666665,1.0,High,Satisfied
86,2.0,8,4,Unsatisfactory,0.1111111111111111,0.7777777777777777,High,Dissatisfied
87,5.0,3,3,Good service,0.4444444444444445,0.2222222222222222,Low,Neutral
88,4.0,7,4,Needs improvement,0.3333333333333333,0.6666666666666665,Medium,Neutral
89,9.0,3,1,Very satisfied,0.8888888888888888,0.2222222222222222,Low,Satisfied
90,2.0,6,4,Unsatisfactory,0.1111111111111111,0.5555555555555556,Medium,Dissatisfied
91,7.0,2,2,Good service,0.6666666666666665,0.1111111111111111,Low,Satisfied
92,7.0,6,2,Good service,0.6666666666666665,0.5555555555555556,Medium,Satisfied
93,7.0,6,2,Good service,0.6666666666666665,0.5555555555555556,Medium,Satisfied
94,1.0,8,1,Unsatisfactory,0.0,0.7777777777777777,High,Dissatisfied
95,8.0,5,1,Very satisfied,0.7777777777777777,0.4444444444444445,Medium,Satisfied
96,2.0,1,3,Unsatisfactory,0.1111111111111111,0.0,Low,Dissatisfied
97,5.0,8,3,Good service,0.4444444444444445,0.7777777777777777,High,Neutral
98,2.0,9,4,Unsatisfactory,0.1111111111111111,0.8888888888888888,High,Dissatisfied
99,5.0,1,1,Good service,0.4444444444444445,0.0,Low,Neutral
100,7.0,5,1,Good service,0.6666666666666665,0.4444444444444445,Medium,Satisfied
101,6.0,6,4,Good service,0.5555555555555556,0.5555555555555556,Medium,Neutral
102,5.0,4,3,Good service,0.4444444444444445,0.3333333333333333,Low,Neutral
103,4.0,2,2,Needs improvement,0.3333333333333333,0.1111111111111111,Low,Neutral
104,8.0,5,1,Very satisfied,0.7777777777777777,0.4444444444444445,Medium,Satisfied
105,8.0,4,1,Very satisfied,0.7777777777777777,0.3333333333333333,Low,Satisfied
106,1.0,7,0,Unsatisfactory,0.0,0.6666666666666665,Medium,Dissatisfied
107,10.0,6,3,Excellent,1.0,0.5555555555555556,Medium,Satisfied
108,2.0,3,3,Unsatisfactory,0.1111111111111111,0.2222222222222222,Low,Dissatisfied
109,3.0,9,1,Needs improvement,0.2222222222222222,0.8888888888888888,High,Dissatisfied
110,1.0,4,2,Unsatisfactory,0.0,0.3333333333333333,Low,Dissatisfied
111,6.0,5,1,Good service,0.5555555555555556,0.4444444444444445,Medium,Neutral
112,10.0,3,4,Excellent,1.0,0.2222222222222222,Low,Satisfied
113,8.0,8,1,Very satisfied,0.7777777777777777,0.7777777777777777,High,Satisfied
114,4.0,7,2,Needs improvement,0.3333333333333333,0.6666666666666665,Medium,Neutral
115,7.0,7,1,Good service,0.6666666666666665,0.6666666666666665,Medium,Satisfied
116,7.0,8,3,Good service,0.6666666666666665,0.7777777777777777,High,Satisfied
117,5.0,7,4,Good service,0.4444444444444445,0.6666666666666665,Medium,Neutral
118,6.0,3,1,Good service,0.5555555555555556,0.2222222222222222,Low,Neutral
119,10.0,3,4,Excellent,1.0,0.2222222222222222,Low,Satisfied
120,4.0,2,1,Needs improvement,0.3333333333333333,0.1111111111111111,Low,Neutral
121,7.0,1,4,Good service,0.6666666666666665,0.0,Low,Satisfied
122,5.0,5,1,Good service,0.4444444444444445,0.4444444444444445,Medium,Neutral
123,2.0,4,1,Unsatisfactory,0.1111111111111111,0.3333333333333333,Low,Dissatisfied
124,8.0,2,1,Very satisfied,0.7777777777777777,0.1111111111111111,Low,Satisfied
125,2.0,1,2,Unsatisfactory,0.1111111111111111,0.0,Low,Dissatisfied
126,8.0,3,1,Very satisfied,0.7777777777777777,0.2222222222222222,Low,Satisfied
127,2.0,6,2,Unsatisfactory,0.1111111111111111,0.5555555555555556,Medium,Dissatisfied
128,5.0,2,2,Good service,0.4444444444444445,0.1111111111111111,Low,Neutral
129,4.0,10,1,Needs improvement,0.3333333333333333,1.0,High,Neutral
130,1.0,7,3,Unsatisfactory,0.0,0.6666666666666665,Medium,Dissatisfied
131,8.0,7,2,Very satisfied,0.7777777777777777,0.6666666666666665,Medium,Satisfied
132,10.0,3,1,Excellent,1.0,0.2222222222222222,Low,Satisfied
133,3.0,1,0,Needs improvement,0.2222222222222222,0.0,Low,Dissatisfied
134,4.0,9,3,Needs improvement,0.3333333333333333,0.8888888888888888,High,Neutral
135,4.0,5,0,Needs improvement,0.3333333333333333,0.4444444444444445,Medium,Neutral
136,5.0,2,2,Good service,0.4444444444444445,0.1111111111111111,Low,Neutral
137,3.0,8,1,Needs improvement,0.2222222222222222,0.7777777777777777,High,Dissatisfied
138,9.0,10,1,Very satisfied,0.8888888888888888,1.0,High,Satisfied
139,4.0,10,2,Needs improvement,0.3333333333333333,1.0,High,Neutral
140,10.0,4,0,Excellent,1.0,0.3333333333333333,Low,Satisfied
141,4.0,10,2,Needs improvement,0.3333333333333333,1.0,High,Neutral
142,6.0,7,3,Good service,0.5555555555555556,0.6666666666666665,Medium,Neutral
143,8.0,5,1,Very satisfied,0.7777777777777777,0.4444444444444445,Medium,Satisfied
144,7.0,3,1,Good service,0.6666666666666665,0.2222222222222222,Low,Satisfied
145,4.0,10,0,Needs improvement,0.3333333333333333,1.0,High,Neutral
146,4.0,8,3,Needs improvement,0.3333333333333333,0.7777777777777777,High,Neutral
147,5.0,2,0,Good service,0.4444444444444445,0.1111111111111111,Low,Neutral
148,10.0,1,3,Excellent,1.0,0.0,Low,Satisfied
149,5.0,5,1,Good service,0.4444444444444445,0.4444444444444445,Medium,Neutral
150,1.0,4,2,Unsatisfactory,0.0,0.3333333333333333,Low,Dissatisfied
151,8.0,10,0,Very satisfied,0.7777777777777777,1.0,High,Satisfied
152,10.0,7,2,Excellent,1.0,0.6666666666666665,Medium,Satisfied
153,5.0,9,1,Good service,0.4444444444444445,0.8888888888888888,High,Neutral
154,3.0,6,1,Needs improvement,0.2222222222222222,0.5555555555555556,Medium,Dissatisfied
155,3.0,1,2,Needs improvement,0.2222222222222222,0.0,Low,Dissatisfied
156,4.0,8,4,Needs improvement,0.3333333333333333,0.7777777777777777,High,Neutral
157,7.0,2,3,Good service,0.6666666666666665,0.1111111111111111,Low,Satisfied
158,5.0,4,4,Good service,0.4444444444444445,0.3333333333333333,Low,Neutral
159,1.0,3,1,Unsatisfactory,0.0,0.2222222222222222,Low,Dissatisfied
160,5.0,6,3,Good service,0.4444444444444445,0.5555555555555556,Medium,Neutral
161,5.0,2,1,Good service,0.4444444444444445,0.1111111111111111,Low,Neutral
162,6.0,5,3,Good service,0.5555555555555556,0.4444444444444445,Medium,Neutral
163,7.0,9,1,Good service,0.6666666666666665,0.8888888888888888,High,Satisfied
164,5.0,3,0,Good service,0.4444444444444445,0.2222222222222222,Low,Neutral
165,2.0,2,1,Unsatisfactory,0.1111111111111111,0.1111111111111111,Low,Dissatisfied
166,2.0,2,4,Unsatisfactory,0.1111111111111111,0.1111111111111111,Low,Dissatisfied
167,4.0,9,3,Needs improvement,0.3333333333333333,0.8888888888888888,High,Neutral
168,1.0,6,3,Unsatisfactory,0.0,0.5555555555555556,Medium,Dissatisfied
169,7.0,2,1,Good service,0.6666666666666665,0.1111111111111111,Low,Satisfied
170,1.0,3,0,Unsatisfactory,0.0,0.2222222222222222,Low,Dissatisfied
171,3.0,1,2,Needs improvement,0.2222222222222222,0.0,Low,Dissatisfied
172,10.0,2,0,Excellent,1.0,0.1111111111111111,Low,Satisfied
173,7.0,2,2,Good service,0.6666666666666665,0.1111111111111111,Low,Satisfied
174,6.0,2,1,Good service,0.5555555555555556,0.1111111111111111,Low,Neutral
175,7.0,7,1,Good service,0.6666666666666665,0.6666666666666665,Medium,Satisfied
176,5.0,3,1,Good service,0.4444444444444445,0.2222222222222222,Low,Neutral
177,8.0,4,2,Very satisfied,0.7777777777777777,0.3333333333333333,Low,Satisfied
178,6.0,2,1,Good service,0.5555555555555556,0.1111111111111111,Low,Neutral
179,4.0,5,4,Needs improvement,0.3333333333333333,0.4444444444444445,Medium,Neutral
180,1.0,9,1,Unsatisfactory,0.0,0.8888888888888888,High,Dissatisfied
181,2.0,9,1,Unsatisfactory,0.1111111111111111,0.8888888888888888,High,Dissatisfied
182,6.0,7,3,Good service,0.5555555555555556,0.6666666666666665,Medium,Neutral
183,4.0,8,2,Needs improvement,0.3333333333333333,0.7777777777777777,High,Neutral
184,3.0,5,3,Needs improvement,0.2222222222222222,0.4444444444444445,Medium,Dissatisfied
185,7.0,5,0,Good service,0.6666666666666665,0.4444444444444445,Medium,Satisfied
186,7.0,3,2,Good service,0.6666666666666665,0.2222222222222222,Low,Satisfied
187,2.0,6,0,Unsatisfactory,0.1111111111111111,0.5555555555555556,Medium,Dissatisfied
188,8.0,1,1,Very satisfied,0.7777777777777777,0.0,Low,Satisfied
189,1.0,3,4,Unsatisfactory,0.0,0.2222222222222222,Low,Dissatisfied
190,10.0,2,1,Excellent,1.0,0.1111111111111111,Low,Satisfied
191,7.0,7,1,Good service,0.6666666666666665,0.6666666666666665,Medium,Satisfied
192,10.0,9,3,Excellent,1.0,0.8888888888888888,High,Satisfied
193,1.0,4,2,Unsatisfactory,0.0,0.3333333333333333,Low,Dissatisfied
194,3.0,7,1,Needs improvement,0.2222222222222222,0.6666666666666665,Medium,Dissatisfied
195,3.0,8,3,Needs improvement,0.2222222222222222,0.7777777777777777,High,Dissatisfied
196,10.0,10,2,Excellent,1.0,1.0,High,Satisfied
197,2.0,2,4,Unsatisfactory,0.1111111111111111,0.1111111111111111,Low,Dissatisfied
198,10.0,7,2,Excellent,1.0,0.6666666666666665,Medium,Satisfied
199,5.0,3,0,Good service,0.4444444444444445,0.2222222222222222,Low,Neutral
200,4.0,8,3,Needs improvement,0.3333333333333333,0.7777777777777777,High,Neutral
201,6.0,6,2,Good service,0.5555555555555556,0.5555555555555556,Medium,Neutral
202,2.0,3,1,Unsatisfactory,0.1111111111111111,0.2222222222222222,Low,Dissatisfied
203,4.0,8,4,Needs improvement,0.3333333333333333,0.7777777777777777,High,Neutral
204,7.0,3,1,Good service,0.6666666666666665,0.2222222222222222,Low,Satisfied
205,1.0,9,3,Unsatisfactory,0.0,0.8888888888888888,High,Dissatisfied
206,3.0,3,1,Needs improvement,0.2222222222222222,0.2222222222222222,Low,Dissatisfied
207,1.0,1,1,Unsatisfactory,0.0,0.0,Low,Dissatisfied
208,2.0,2,0,Unsatisfactory,0.1111111111111111,0.1111111111111111,Low,Dissatisfied
209,9.0,4,3,Very satisfied,0.8888888888888888,0.3333333333333333,Low,Satisfied
210,10.0,2,2,Excellent,1.0,0.1111111111111111,Low,Satisfied
211,5.0,4,4,Good service,0.4444444444444445,0.3333333333333333,Low,Neutral
212,4.0,4,4,Needs improvement,0.3333333333333333,0.3333333333333333,Low,Neutral
213,4.0,4,4,Needs improvement,0.3333333333333333,0.3333333333333333,Low,Neutral
214,8.0,1,2,Very satisfied,0.7777777777777777,0.0,Low,Satisfied
215,3.0,9,4,Needs improvement,0.2222222222222222,0.8888888888888888,High,Dissatisfied
216,4.0,10,3,Needs improvement,0.3333333333333333,1.0,High,Neutral
217,2.0,7,0,Unsatisfactory,0.1111111111111111,0.6666666666666665,Medium,Dissatisfied
218,6.0,2,1,Good service,0.5555555555555556,0.1111111111111111,Low,Neutral
219,9.0,3,1,Very satisfied,0.8888888888888888,0.2222222222222222,Low,Satisfied
220,4.0,8,3,Needs improvement,0.3333333333333333,0.7777777777777777,High,Neutral
221,6.0,7,0,Good service,0.5555555555555556,0.6666666666666665,Medium,Neutral
222,4.0,4,3,Needs improvement,0.3333333333333333,0.3333333333333333,Low,Neutral
223,2.0,4,4,Unsatisfactory,0.1111111111111111,0.3333333333333333,Low,Dissatisfied
224,6.0,9,4,Good service,0.5555555555555556,0.8888888888888888,High,Neutral
225,7.0,5,3,Good service,0.6666666666666665,0.4444444444444445,Medium,Satisfied
226,4.0,5,2,Needs improvement,0.3333333333333333,0.4444444444444445,Medium,Neutral
227,6.0,7,4,Good service,0.5555555555555556,0.6666666666666665,Medium,Neutral
228,8.0,1,2,Very satisfied,0.7777777777777777,0.0,Low,Satisfied
229,3.0,3,3,Needs improvement,0.2222222222222222,0.2222222222222222,Low,Dissatisfied
230,2.0,2,1,Unsatisfactory,0.1111111111111111,0.1111111111111111,Low,Dissatisfied
231,5.0,10,3,Good service,0.4444444444444445,1.0,High,Neutral
232,2.0,6,4,Unsatisfactory,0.1111111111111111,0.5555555555555556,Medium,Dissatisfied
233,10.0,6,3,Excellent,1.0,0.5555555555555556,Medium,Satisfied
234,5.0,10,2,Good service,0.4444444444444445,1.0,High,Neutral
235,10.0,1,1,Excellent,1.0,0.0,Low,Satisfied
236,6.0,6,3,Good service,0.5555555555555556,0.5555555555555556,Medium,Neutral
237,8.0,10,3,Very satisfied,0.7777777777777777,1.0,High,Satisfied
238,6.0,2,0,Good service,0.5555555555555556,0.1111111111111111,Low,Neutral
239,4.0,4,1,Needs improvement,0.3333333333333333,0.3333333333333333,Low,Neutral
240,3.0,6,2,Needs improvement,0.2222222222222222,0.5555555555555556,Medium,Dissatisfied
241,2.0,3,2,Unsatisfactory,0.1111111111111111,0.2222222222222222,Low,Dissatisfied
242,1.0,3,2,Unsatisfactory,0.0,0.2222222222222222,Low,Dissatisfied
243,2.0,3,3,Unsatisfactory,0.1111111111111111,0.2222222222222222,Low,Dissatisfied
244,2.0,4,4,Unsatisfactory,0.1111111111111111,0.3333333333333333,Low,Dissatisfied
245,5.0,9,1,Good service,0.4444444444444445,0.8888888888888888,High,Neutral
246,9.0,4,2,Very satisfied,0.8888888888888888,0.3333333333333333,Low,Satisfied
247,1.0,4,4,Unsatisfactory,0.0,0.3333333333333333,Low,Dissatisfied
248,4.0,4,0,Needs improvement,0.3333333333333333,0.3333333333333333,Low,Neutral
249,10.0,7,2,Excellent,1.0,0.6666666666666665,Medium,Satisfied
250,7.0,5,1,Good service,0.6666666666666665,0.4444444444444445,Medium,Satisfied
251,10.0,2,3,Excellent,1.0,0.1111111111111111,Low,Satisfied
252,3.0,7,1,Needs improvement,0.2222222222222222,0.6666666666666665,Medium,Dissatisfied
253,8.0,3,2,Very satisfied,0.7777777777777777,0.2222222222222222,Low,Satisfied
254,3.0,1,4,Needs improvement,0.2222222222222222,0.0,Low,Dissatisfied
255,8.0,9,1,Very satisfied,0.7777777777777777,0.8888888888888888,High,Satisfied
256,2.0,5,4,Unsatisfactory,0.1111111111111111,0.4444444444444445,Medium,Dissatisfied
257,5.0,10,2,Good service,0.4444444444444445,1.0,High,Neutral
258,4.0,1,1,Needs improvement,0.3333333333333333,0.0,Low,Neutral
259,9.0,1,1,Very satisfied,0.8888888888888888,0.0,Low,Satisfied
260,3.0,1,1,Needs improvement,0.2222222222222222,0.0,Low,Dissatisfied
261,5.0,9,1,Good service,0.4444444444444445,0.8888888888888888,High,Neutral
262,10.0,8,0,Excellent,1.0,0.7777777777777777,High,Satisfied
263,9.0,6,4,Very satisfied,0.8888888888888888,0.5555555555555556,Medium,Satisfied
264,6.0,10,3,Good service,0.5555555555555556,1.0,High,Neutral
265,2.0,6,2,Unsatisfactory,0.1111111111111111,0.5555555555555556,Medium,Dissatisfied
266,1.0,6,2,Unsatisfactory,0.0,0.5555555555555556,Medium,Dissatisfied
267,1.0,4,1,Unsatisfactory,0.0,0.3333333333333333,Low,Dissatisfied
268,7.0,5,0,Good service,0.6666666666666665,0.4444444444444445,Medium,Satisfied
269,2.0,10,1,Unsatisfactory,0.1111111111111111,1.0,High,Dissatisfied
270,7.0,3,2,Good service,0.6666666666666665,0.2222222222222222,Low,Satisfied
